user_id,timestamp,page_visited,duration
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2023-11-27 22:23:29,category,219
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2022-05-22 16:06:01,about,397
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2023-10-01 13:39:36,about,337
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2020-06-23 11:58:40,category,542
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2021-09-08 23:58:45,register,133
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2023-09-03 13:57:05,index,303
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2020-10-30 09:59:17,about,293
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2020-10-15 07:55:02,category,165
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2020-06-17 18:56:58,register,588
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2022-05-12 18:49:01,faq,484
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2023-08-09 00:25:36,search,207
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2022-11-04 13:25:57,homepage,286
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2021-03-05 17:13:13,post,493
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2022-06-10 04:54:54,author,534
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2020-12-14 15:37:36,privacy,566
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2023-04-25 00:56:24,author,103
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2022-03-10 04:59:03,homepage,458
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2021-03-05 17:37:58,category,245
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2021-10-02 00:45:18,category,551
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2021-05-08 01:45:13,about,111
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2023-07-05 20:24:00,about,255
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2022-11-23 21:36:46,terms,51
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2021-11-14 10:29:36,main,433
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2022-11-26 23:56:42,homepage,178
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2023-02-06 16:08:21,privacy,131
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2023-04-05 03:07:24,category,243
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2023-03-31 19:41:38,post,386
d761bebe-b1ed-4315-98fe-ebbdd2f7cdaf,2022-05-18 04:04:52,post,257
